Golf | Star,Small,Cold,Blue,Fast
Scary Whale | Happy,Green,whale,scary,Big
Robot | robot,Lion,Cold,Sun,Flower
Phone | Cloud,Fish,Sad,phone,Funny
Red Whale | Tree,Cold,Cat,red,Flower
Astronaut | Cute,Hot,Sun,astronaut,Funny
Green Flower | flower,green,Red,Green,Whale
Hot Shark | Star,hot,Lion,Cold,Sun
Music | music,Cold,Red,Slow,Big
Big Fish | big,Small,Bear,Cat,Blue
Slow Bear | Cold,slow,Sad,Cat,bear
Truck | Scary,Cloud,Happy,truck,Moon
Cute Tree | Cute,Cloud,tree,Sad,Blue
Restaurant | restaurant,Horse,Fish,Red,Green
Green Bird | bird,Lion,green,Sad,Slow
Green Lion | Horse,Fish,Red,green,lion
Happy Fish | happy,Scary,Cold,Flower,Angry
Big Bear | big,Lion,Sun,Blue,Slow
Chair | Cute,Cloud,chair,Happy,Cold
Astronaut | Happy,Red,Blue,Green,astronaut
Cute Cloud | Happy,Cold,Sun,Moon,cloud
Funny Whale | Cute,Lion,Red,whale,Slow
Angry Star | Cloud,Sun,Cat,Green,star
Hot Fish | hot,Horse,Sun,Red,Moon
Hot Lion | hot,Small,Cold,Sun,lion
Soccer | Cute,Horse,Hot,Lion,soccer
Train | Happy,train,Blue,Moon,Whale
Sad Lion | Star,Cloud,sad,Shark,lion
Highway | highway,Hot,Small,Flower,Slow
Robot | Cute,robot,Cold,Sad,Flower
Big Dog | big,Shark,Cold,Sun,dog
Apple | Cloud,Sun,Blue,Flower,Moon
Hot Horse | Cute,hot,Happy,horse,Sad
Red Whale | Cute,Cloud,Fish,Lion,red
Slow Bird | bird,Hot,Small,Cold,Bear
Cold Cloud | Hot,Shark,Flower,Whale,cloud
Scary Cloud | Star,Cloud,Fish,Moon,Slow
Green Lion | Cute,Hot,Small,Cold,green
Big Shark | Tree,Star,big,Happy,Lion
Happy Bear | happy,Fish,Cat,Blue,bear
Slow Dog | Cute,Fish,slow,Green,dog
Angry Sun | Cloud,Hot,sun,Small,angry
Cute Lion | Small,Cold,lion,Moon,Angry
Blue Whale | blue,Horse,Lion,Red,Whale
Funny Cloud | Cute,Fish,Small,Red,Blue
Cute Horse | Cute,Star,Happy,horse,Small
Hot Bear | hot,Cloud,Hot,Green,Flower
Blue Fish | Tree,Star,blue,Small,Bear
Penguin | Fish,Lion,Small,Slow,penguin
Green Fish | Star,Hot,Lion,Cold,green
Scary Bear | Happy,Fish,Cat,scary,bear
Fast Horse | horse,Shark,Blue,Slow,fast
Small Whale | Star,Fish,Hot,Shark,Green
Big Cloud | big,Fish,Lion,Shark,Blue
Market | Tree,Hot,market,Shark,Flower
Library | Star,library,Hot,Sad,Green
Funny Bird | bird,Fish,Red,Cat,Moon
Knight | Happy,knight,Moon,Dog,Big
Storm | storm,Happy,Shark,Sun,Red
Funny Star | Horse,star,Whale,Angry,funny
Sad Tree | Tree,Star,sad,Small,Shark
Actor | Star,actor,Horse,Shark,Moon
Funny Bear | Horse,Fish,Cold,Cat,funny
Blue Whale | blue,Fish,Slow,Whale,whale
Green Cat | Cloud,Horse,Lion,green,Moon
Blue Cloud | blue,Fish,Red,Green,Slow
Funny Moon | Cold,Bear,Cat,Green,Flower
Red Star | Cold,Red,red,Green,star
Angry Flower | Cute,flower,Shark,Sun,Green
Swimming | Fish,Blue,Green,swimming,Big
Farmer | Star,Fish,Lion,Moon,farmer
Truck | Cold,Bear,Sad,truck,Angry
Church | church,Red,Green,Angry,Whale
Banana | Happy,Small,Sun,Flower,Big
Small Flower | Happy,Fish,flower,small,Slow
Volcano | Fish,Bear,Sad,Green,volcano
Restaurant | restaurant,Tree,Sun,Red,Whale
Teacher | Cloud,Small,Sun,teacher,Slow
Slow Moon | Shark,Cold,slow,Green,moon
Church | Horse,Happy,Fish,church,Funny
Pirate | Tree,Cute,Star,pirate,Cat
Small Bear | Star,Cat,Sad,small,Angry
Princess | Cloud,Cold,Green,princess,Big
Blue Bird | Tree,bird,blue,Cloud,Lion
Hot Bird | bird,hot,Cloud,Cold,Sad
Cold Sun | Star,sun,Small,Shark,Bear
Karate | Tree,Horse,Happy,Fish,Moon
Green Bird | Tree,bird,Hot,green,Cat
Scientist | Cloud,scientist,Green,Slow,Whale
Happy Tree | happy,Cloud,Fish,Green,tree
Blue Fish | blue,Fish,Small,Cold,Green
Small Bird | bird,Happy,Cold,Sad,Moon
Hot Lion | hot,Small,Sun,Green,lion
Helicopter | Cute,Star,Happy,helicopter,Cat
Queen | queen,Cloud,Fish,Shark,Bird
Red Bear | Star,Small,Bear,red,Whale
Cute Horse | Cloud,horse,Blue,Sad,Big
Blue Dog | Cute,blue,Cat,Sad,Blue
Red Shark | Happy,Fish,Bear,red,Slow
Funny Tree | Scary,Cloud,Horse,funny,tree
Cute Fish | Tree,Happy,Blue,Green,Dog
Red Whale | Tree,Cloud,Sad,red,Moon
Island | Cat,Green,Flower,Angry,Fast
Scary Lion | Cloud,Fish,lion,scary,Big
Green Shark | Sun,green,Flower,Moon,Slow
Big Lion | big,Hot,Blue,lion,Moon
Green Bear | Happy,Lion,Sun,green,Red
Market | Tree,Cloud,market,Green,Big
Engineer | Star,Horse,Bear,engineer,Cat
Big Bear | Cloud,Horse,big,Happy,Small
Funny Shark | Cute,Happy,Flower,Slow,Whale
Pilot | Hot,Lion,Bear,Flower,Angry
Firefighter | Star,Shark,Flower,Big,firefighter
Rainbow | Star,Hot,rainbow,Angry,Whale
Cute Cloud | Hot,Fish,Cold,Sad,cloud
Blue Horse | blue,Cloud,horse,Green,Flower
Banana | Cute,Star,Sun,Blue,Green
Scientist | scientist,Fish,Red,Cat,Slow
Slow Shark | Happy,Hot,Bear,slow,Blue
Slow Sun | Cloud,Lion,sun,slow,Cat
Funny Bird | bird,Cloud,Lion,Cold,Sun
Small Dog | Happy,Lion,Cold,Sun,dog
Library | library,Horse,Hot,Green,Moon
Fast Star | Happy,Cold,Sun,Sad,star
Pilot | Tree,Cloud,Sun,Sad,Green
Cute Bear | Happy,Hot,Sad,Green,bear
Angry Bird | Tree,Star,bird,Fish,Lion
Police | police,Small,Cat,Green,Angry
Fast Shark | Cloud,Hot,Cold,shark,Whale
Hot Whale | Tree,hot,Horse,Cat,Blue
Train | Hot,Sun,train,Green,Angry
Cute Flower | flower,Shark,Big,cute,Fast
Painter | Hot,Fish,Sad,painter,Big
Small Moon | Tree,Hot,Red,Green,moon
Park | Cloud,Lion,park,Dog,Big
Hot Sun | Tree,Scary,hot,sun,Sun
Cold Shark | Cute,Small,Blue,Moon,shark
Blue Bear | blue,Horse,Fish,Moon,Angry
Scary Flower | Hot,flower,Shark,Sad,Flower
Slow Moon | Cute,Lion,Small,Cold,slow
Cold Bear | Cloud,Lion,Slow,Angry,bear
Funny Bear | Horse,Shark,Moon,funny,bear
Scary Shark | Cloud,Happy,Sun,Green,shark
Angry Horse | Happy,Hot,horse,Angry,angry
Blue Sun | Cute,Star,blue,sun,Small
Car | Lion,Sun,Blue,Green,car
Red Lion | Cute,Star,red,lion,Slow
Sad Horse | Star,Cloud,sad,horse,Sun
Blue Dog | blue,Horse,Lion,Shark,Cat
Baker | Star,Cold,Blue,Green,baker
Golf | Cute,Happy,Blue,Flower,Funny
Sad Bear | Tree,Happy,sad,Lion,Cold
Factory | Cloud,Shark,factory,Sad,Moon
Hot Bear | hot,Happy,Lion,Shark,bear
Castle | Hot,castle,Red,Blue,Sad
Blue Moon | Cute,blue,Happy,Fish,Lion
Slow Star | Star,Hot,Small,slow,Blue
Slow Bird | bird,Cloud,slow,Moon,Angry
Fast Star | Tree,Horse,Shark,Green,star
Cute Fish | Cute,Happy,Shark,Moon,Angry
Big Cloud | big,Happy,Small,Flower,Slow
Sad Flower | Tree,Cute,sad,flower,Red
Slow Whale | Cloud,Cold,slow,Green,Moon
Red Whale | Cloud,Happy,Red,Sad,red
Cold Sun | sun,Small,Cold,Bear,Big
Hotel | Tree,Sun,Red,Sad,hotel
Red Cloud | Scary,Happy,Cold,red,Green
Karate | Hot,Shark,Sad,Green,karate
Green Bird | bird,Lion,Red,green,Angry
Dinosaur | Cute,Sun,Red,Sad,Fast
Scientist | Cloud,scientist,Happy,Small,Green
Hot Tree | hot,Cloud,Horse,Cold,Shark
Fast Whale | Hot,Cold,Shark,Blue,whale
Small Moon | Happy,Hot,Lion,Bear,moon
Happy Star | happy,Star,Horse,Red,star
Blue Lion | blue,Small,Cat,Sad,lion
Jungle | Star,Happy,Cold,Sun,jungle
Forest | Star,Fish,Hot,Sun,forest
Happy Fish | happy,Cloud,Horse,Hot,Shark
Green Moon | Cute,Happy,Lion,green,moon
Singer | Happy,Small,Red,Blue,Fast
Phone | Tree,Star,Blue,Green,phone
Blue Moon | Tree,blue,Small,Green,moon
Restaurant | restaurant,Cute,Bear,Slow,Funny
Small Whale | Tree,Small,Green,small,whale
Fast Fish | Star,Horse,Fish,Cat,Blue
Hot Dog | Tree,hot,Happy,Lion,Cat
Blue Flower | blue,Happy,flower,Sun,Blue
Judo | Cute,Cloud,judo,Red,Fast
Cute Star | Cloud,Green,star,Slow,Moon
Angry Star | Cute,Lion,star,Whale,angry
Beach | beach,Hot,Red,Cat,Blue
Big Moon | Cute,big,Small,Sun,Cat
Red Fish | Horse,Happy,Lion,red,Big
Garden | Cloud,garden,Horse,Bear,Sad
Blue Cat | blue,Cloud,Happy,Fish,Lion
Angry Bird | bird,Lion,Sun,Red,Flower
Small Shark | Fish,Moon,Slow,small,shark
River | Happy,Sun,river,Cat,Fast
Baker | Lion,Small,Sun,Sad,baker
Cute Bird | Tree,bird,Blue,Green,Moon
Funny Cat | Cute,Cold,cat,Slow,Angry
Hot Fish | Star,Cloud,hot,Lion,Cat
Green Bear | Star,Lion,Sun,Red,green
Slow Cloud | slow,Moon,Slow,cloud,Dog
Hot Tree | hot,Horse,Hot,Cold,Red
Slow Star | Star,Hot,Small,slow,star
Blue Star | blue,Cold,Shark,Sun,Blue
Blue Lion | blue,Happy,Cold,Sad,Blue
Red Cat | Bear,red,cat,Moon,Angry
Happy Flower | happy,Star,Cloud,Hot,Shark
Angry Dog | Happy,Small,Shark,dog,Slow
Sad Shark | Cute,sad,Red,Slow,shark
Tunnel | Cute,Fish,tunnel,Sad,Angry
Sad Horse | Cute,sad,horse,Sad,Flower
Green Bird | bird,Small,Sun,green,Sad
Sad Moon | Cloud,Hot,sad,Lion,Bear
Red Cloud | Bear,Cat,Sad,red,Angry
Funny Flower | Cute,flower,Red,Blue,Sad
Slow Bear | Cloud,Happy,Hot,Small,slow
Penguin | Cloud,Lion,Sad,Moon,Big
Boxing | Cute,Cloud,boxing,Shark,Bird
Scary Bird | bird,Happy,Small,Sun,Sad
Fast Lion | Star,Horse,Hot,Sun,lion
Sad Fish | Fish,sad,Cat,Sad,Slow
Market | Cloud,Fish,Lion,market,Green
Football | Star,football,Shark,Red,Blue
Angry Tree | Cloud,Horse,Happy,Hot,Sun
Happy Horse | happy,Happy,Hot,Lion,horse
Small Sun | Tree,Hot,sun,Bear,Moon
Sad Horse | Tree,sad,horse,Cat,Blue
Hockey | Horse,hockey,Shark,Blue,Flower
Hot Moon | hot,Hot,Cold,moon,Dog
Hot Bird | Cute,bird,hot,Lion,Sun
Happy Tree | happy,Happy,Hot,Bear,Flower
Slow Cat | Happy,Small,Shark,slow,Cat
Sad Moon | sad,Small,Sad,moon,Whale
Driver | Star,Happy,Sun,Moon,Big
Angry Tree | Cute,Shark,Red,Blue,Flower
Big Fish | Cute,big,Sad,Slow,fish
Cold Tree | Small,Bear,Sad,tree,cold
Guitar | Red,Blue,Flower,guitar,Fast
Scary Sun | Star,sun,Shark,Bear,Blue
Cold Bird | bird,Cloud,Happy,Shark,Angry
Blue Shark | blue,Fish,Hot,Cold,Sun
Mountain | Tree,Small,mountain,Bear,Angry
Chair | Star,chair,Happy,Bird,Funny
Cold Horse | Cute,horse,Slow,Whale,Big
Funny Horse | Tree,horse,Cat,Whale,Angry
Happy Horse | happy,Hot,horse,Small,Shark
Red Bear | Hot,red,Flower,bear,Big
Big Cat | big,Happy,Small,Red,cat
Red Star | Hot,Fish,Small,Cold,red
Park | Horse,Fish,Sun,park,Moon
Funny Fish | Bear,Flower,Whale,Angry,funny
Funny Tree | Cute,Horse,Shark,Red,Angry
Mountain | Cute,Star,mountain,Blue,Sad
Green Tree | Hot,Cold,Bear,Sun,green
Slow Whale | Lion,Cold,slow,Blue,Moon
Small Cloud | Star,Happy,Cold,Flower,Slow
Green Moon | Tree,Bird,green,Green,moon
Angry Fish | Small,Bear,Red,Moon,angry
Green Flower | flower,Shark,green,Green,Slow
Sad Horse | Cute,Happy,sad,Lion,horse
Slow Dog | Tree,Horse,slow,Sad,dog
Cute Sun | Cloud,sun,Cold,Bird,Sad
Hot Bear | hot,Cloud,Happy,Green,Moon
Angry Cat | Cloud,Horse,Fish,Sun,cat
Fast Fish | Cloud,Cold,Red,Moon,fast
Blue Shark | Star,blue,Shark,Flower,Slow
Big Moon | Cloud,big,Bear,Moon,moon
Fast Cloud | Scary,Cloud,Whale,cloud,fast
Volcano | Hot,Shark,Sun,Moon,volcano
Sad Moon | Happy,Hot,sad,Sad,moon
Angry Dog | Fish,Red,Blue,dog,Moon
Cute Lion | Bear,Blue,lion,Slow,Angry
Hot Flower | Tree,hot,Fish,flower,Shark
Sad Sun | Happy,Fish,sad,sun,Cold
Camera | Small,Sun,Blue,Sad,Flower
Fast Lion | Cute,Cold,Bear,Sad,lion
Beach | beach,Lion,Cold,Sun,Slow
Funny Lion | Cloud,Cold,Bear,lion,funny
Rocket | Fish,Bear,rocket,Sad,Whale
Slow Bear | Star,Horse,slow,Sad,Green
Small Flower | Cute,flower,Sun,Blue,Green
Blue Moon | Star,blue,Happy,Cat,moon
Cute Whale | Scary,Star,Shark,Blue,whale
Small Horse | Tree,Cloud,horse,Lion,Blue
Football | Cute,football,Happy,Lion,Blue
Hot Fish | hot,Horse,Hot,Bear,Sun
Tunnel | Happy,Fish,tunnel,Small,Flower
Castle | Tree,Cute,Scary,castle,Bear
Car | Cloud,Horse,Happy,car,Whale
Cute Flower | Cloud,Fish,Lion,flower,Blue
Green Moon | Small,green,Green,moon,Big
Princess | Hot,Small,Red,princess,Slow
Red Dog | Cute,Sun,Blue,red,dog
Baseball | baseball,Cloud,Small,Shark,Sun
Spaceship | Sad,Green,Moon,spaceship,Funny
Small Dog | Star,Horse,Lion,dog,Slow
Hot Tree | hot,Hot,Small,Bear,Slow
Sad Horse | sad,horse,Cold,Shark,Red
Golf | Cute,Small,Red,Sad,Moon
Angry Bear | Scary,Star,Cold,Moon,angry
Slow Fish | Cute,Red,slow,Sad,Flower
Red Fish | Star,Fish,Lion,Red,red
Scary Bear | Hot,Cold,Flower,scary,bear
Apple | Horse,Fish,Shark,Cat,apple
Tennis | tennis,Lion,Shark,Red,Cat
Soldier | Cloud,Horse,Fish,Cold,Red
Writer | Shark,Cat,Sad,writer,Slow
Red Whale | Cloud,Hot,Lion,Cold,Cat
Market | market,Small,Sad,Moon,Whale
Blue Tree | Star,blue,Shark,Red,tree
Table | Tree,Cloud,Slow,table,Funny
Jungle | Small,Cold,jungle,Blue,Green
Slow Flower | Horse,Cold,flower,Red,slow
Baseball | baseball,Tree,Star,Hot,Cold
Big Moon | big,Happy,Fish,Lion,Hot
Red Sun | Fish,sun,Sun,Bird,red
Red Dog | Cloud,Horse,Sad,red,dog
Red Lion | Happy,Small,Sun,red,lion
Slow Bird | Cute,Tree,bird,Fish,Lion
Fast Whale | Horse,Cold,Bear,whale,Moon
Happy Bird | happy,bird,Bear,Sun,Slow
Sad Tree | Horse,sad,Small,Sun,Slow
Small Shark | Star,Happy,Shark,small,Angry
Scary Sun | Happy,sun,Lion,Whale,scary
Green Bear | Hot,Cold,Bear,green,Blue
Small Whale | Cloud,Bear,Flower,small,whale
Blue Dog | Cute,blue,Cloud,Happy,Hot
Fast Lion | Horse,Shark,Bird,lion,Moon
Slow Shark | Small,Red,slow,Moon,shark
Scary Sun | Hot,sun,Sun,Cat,Moon
Green Cloud | Cloud,Cold,Shark,green,Flower
Blue Cat | Cute,blue,Cloud,Lion,Red
Computer | Happy,Fish,computer,Green,Moon
Hot Sun | Tree,Star,hot,sun,Cold
Angry Cat | Star,Horse,Happy,Flower,cat
Happy Bird | happy,bird,Fish,Sun,Sad
Cold Fish | Cute,Fish,Lion,Sun,Moon
Blue Whale | blue,Sun,Cat,Flower,Moon
Queen | queen,Horse,Green,Moon,Big
Soccer | Tree,Cloud,soccer,Shark,Red
Princess | Cute,Cat,Green,Moon,princess
Fast Moon | Cute,Tree,Fish,moon,Angry
Angry Sun | Horse,sun,Blue,Green,Flower
Skateboard | skateboard,Cloud,Happy,Dog,Big
Cute Lion | Horse,Cold,Red,Sad,Green
Fast Whale | Hot,Shark,whale,Moon,Angry
Tunnel | tunnel,Shark,Sad,Moon,Big
Big Shark | Cute,big,Lion,Small,Sun
Blue Cat | Cute,Star,blue,Shark,cat
Sad Lion | Cute,sad,Small,Shark,Red
Soldier | Cute,Star,soldier,Cold,Funny
Small Whale | Cold,Cat,Sad,Moon,small
Funny Lion | Tree,Cute,Cold,Cat,lion
Green Tree | Star,Horse,Hot,green,Cat
Red Whale | Sun,Blue,red,Green,whale
Big Tree | Tree,Cloud,big,Fish,Flower
Slow Cat | Cute,Small,Shark,Sun,Red
Cold Star | Tree,Star,Lion,star,Slow
Scary Sun | Hot,sun,Small,Cold,Bear
Road | Cute,Hot,Small,road,Cat
Happy Cloud | happy,Fish,Shark,Sun,Blue
Funny Bird | Star,bird,Red,Green,Angry
Small Cloud | Star,Lion,Bear,Slow,small
Hospital | hospital,Lion,Small,Blue,Flower
Truck | Cloud,Happy,Hot,Lion,truck
Knight | Shark,Sun,knight,Cat,Flower
Dinosaur | Fish,Sun,Sad,Slow,Fast
Green Sun | Cute,Fish,sun,green,Blue
Happy Star | happy,Cloud,Shark,Sun,Red
Bicycle | Cute,Cloud,Happy,Shark,bicycle
Green Bird | Cute,bird,Fish,Small,Shark
Green Lion | Fish,green,Cat,Blue,lion
King | Star,Small,king,Sad,Flower
Red Tree | Cute,Tree,Star,Cloud,red
Scary Sun | Tree,Happy,sun,Slow,scary
Skateboard | Cute,skateboard,Happy,Small,Sun
Hot Bird | bird,hot,Cloud,Fish,Shark
Angry Cloud | Lion,Cat,angry,cloud,Fast
Engineer | Tree,Bear,engineer,Green,Moon
Castle | Horse,Happy,Fish,castle,Blue
Small Fish | Bear,small,Angry,Whale,Big
Sad Sun | Hot,sad,Fish,sun,Bear
Happy Horse | happy,horse,Lion,Sad,Green
Angry Cloud | Cloud,Horse,Happy,angry,Moon
Green Cloud | Sun,green,Cat,Sad,cloud
Red Fish | Cute,Star,Bear,red,Moon
Green Bear | Horse,Sun,green,Moon,bear
Angry Cat | Fish,Small,cat,angry,Big
Scary Whale | Small,Bear,Cat,whale,scary
Engineer | Hot,Small,Red,engineer,Flower
Cute Cloud | Star,Slow,Angry,cloud,cute
Painter | Hot,Small,Sun,Flower,painter
Hot Lion | hot,Happy,Cat,Sad,Green
Hot Shark | Cute,hot,Cold,Sun,Slow
Baseball | baseball,Hot,Fish,Shark,Slow
